"","occ2010","occ2018","xwalk_wt_fnl"
"460",6440,6442,0.900832099287916
"461",6460,6460,1
"462",6500,6500,1
"463",6515,6515,1
"464",6520,6520,1
"465",6530,6530,1
"466",6540,6540,1
"467",6600,6600,1
"468",6660,6660,1
"469",6700,6700,1
"470",6710,6710,1
"471",6720,6720,1
"472",6730,6730,1
"473",6740,6740,1
"474",6750,6750,1
"475",6765,6765,0.689892692020869
"476",6800,6800,1
"477",6820,6825,1
"478",6830,6835,1
"479",6830,6850,0.5
"480",6840,6850,1
"481",6910,6850,1
"482",6920,6920,1
"483",6930,6920,1
"484",6940,6950,1
"485",7000,7000,1
"486",7010,7010,1
"487",7020,7020,1
"488",7030,7030,1
"489",7040,7040,1
"490",7050,7050,1
"491",7100,7100,1
"492",7110,7110,1
"493",7120,7120,1
"494",7130,7130,1
"495",7140,7140,1
"496",7150,7150,1
"497",7160,7160,1
"498",7200,7200,1
"499",7210,7210,1
"500",7220,7220,1
"501",7240,7240,1
"502",7260,7260,1
"503",7300,7300,1
"504",7315,7315,1
"505",7320,7320,1
"506",7330,7330,1
"507",7340,7340,1
"508",7350,7350,1
"509",7360,7360,1
"510",7410,7410,1
"511",7420,7420,1
"512",7430,7430,1
"513",7440,7440,1
"514",7510,7510,1
"515",7520,7520,1
"516",7540,7540,1
"517",7550,7550,1
"518",7560,7560,1
"519",7600,7560,1
"520",7610,7610,1
"521",7610,7640,0.5
"522",7630,7640,1
"523",7700,7700,1
"524",7710,7710,1
"525",7720,7720,1
"526",7730,7730,1
"527",7740,7740,1
"528",7750,7750,1
"529",7800,7800,1
"530",7810,7810,1
"531",7830,7830,1
"532",7840,7840,1
"533",7850,7850,1
"534",7855,7855,1
"535",7900,7905,1
"536",7900,7925,0.5
"537",7920,7925,1
"538",7930,7925,1
"539",7940,7925,1
"540",7950,7950,1
"541",8000,8000,1
"542",8000,8025,0.5
"543",7960,8025,1
"544",8010,8025,1
"545",8020,8025,1
"546",8030,8030,1
"547",8040,8040,1
"548",8060,8060,1
"549",8100,8100,1
"550",8130,8130,1
"551",8140,8140,1
"552",8140,8225,0.5
"553",8120,8225,1
"554",8150,8225,1
"555",8160,8225,1
"556",8200,8225,1
"557",8210,8225,1
"558",8220,8225,1
"559",8250,8250,1
"560",8255,8255,1
"561",8256,8256,1
"562",8300,8300,1
"563",8310,8310,1
"564",8320,8320,1
"565",8320,8335,0.5
"566",8330,8335,1
"567",8340,8335,1
"568",8350,8350,1
"569",8350,8365,0.5
"570",8360,8365,1
"571",8400,8365,1
"572",8410,8365,1
"573",8420,8365,1
"574",8450,8450,1
"575",8450,8465,0.5
"576",8430,8465,1
"577",8440,8465,1
"578",8460,8465,1
"579",8500,8500,1
"580",8510,8510,1
"581",8530,8530,1
"582",8540,8540,1
"583",8540,8555,0.5
"584",8520,8555,1
"585",8550,8555,1
"586",8600,8600,1
"587",8610,8610,1
"588",8620,8620,1
"589",8630,8630,1
"590",8640,8640,1
"591",8650,8650,1
"592",8710,8710,1
"593",8720,8720,1
"594",8730,8730,1
"595",8740,8740,1
"596",8750,8750,1
"597",8760,8760,1
"598",8800,8800,1
"599",8810,8810,1
"600",8830,8830,1
"601",8850,8850,1
"602",8910,8910,1
"603",8920,8920,1
"604",8930,8930,1
"605",8940,8940,1
"606",8950,8950,1
"607",8950,8865,0.5
"608",8860,8865,1
"609",8900,8865,0.5
"610",8900,8990,0.5
"611",8840,8990,1
"612",8965,8990,1
"613",9000,9005,1
"614",9030,9030,1
"615",9040,9040,1
"616",9050,9050,0.78959286486807
"617",9110,9110,1
"618",9120,9110,0.333333333333333
"619",9120,9121,0.333333333333333
"620",9120,9122,0.333333333333333
"621",9130,9130,1
"622",9140,9130,0.333333333333333
"623",9140,9141,0.145156318462537
"624",9140,9142,0.854843681537463
"625",9150,9150,1
"626",9200,9210,1
"627",9240,9240,1
"628",9240,9265,0.5
"629",9230,9265,1
"630",9260,9265,1
"631",9300,9300,1
"632",9330,9330,1
"633",9310,9310,1
"634",9350,9350,1
"635",9360,9365,1
"636",9410,9410,1
"637",9415,9415,0.5
"638",9415,9430,0.5
"639",9340,9430,1
"640",9420,9430,1
"641",9510,9510,1
"642",9510,6821,0.333333333333333
"643",9510,9570,0.333333333333333
"644",9500,9570,1
"645",9520,9570,1
"646",9560,9570,1
"647",9600,9600,1
"648",9610,9610,1
"649",9620,9620,1
"650",9630,9630,1
"651",9640,9640,1
"652",9650,9650,1
"653",9720,9720,1
"654",9720,9760,0.5
"655",9740,9760,1
"656",9750,9760,1
"657",9730,9760,1
"658",9800,9800,1
"659",9810,9810,1
"660",9820,9825,1
"661",9830,9830,1
"662",9920,9920,1
"663",0,0,1
"664",-1,-1,1
