"","census_2018","estz_total_sim","estz_core_sim","estz_supplemental_sim","estz_total_quint_sim","estz_core_quint_sim","estz_supplemental_quint_sim","estz_total_admin","estz_core_admin","estz_supplemental_admin","estz_total_quint_admin","estz_core_quint_admin","estz_supplemental_quint_admin"
"230","3330",0.0217862038274683,0.0186043581536295,0.134585723,5,5,5,0.157968342666667,0.1355373925,0.0224309538333333,3,3,3
"231","3401",0.000577421805733815,0.000577421805733815,0,1,1,1,0.02878464,0.02878464,0,1,2,1
"232","3402",0.000577421805733815,0.000577421805733815,0,1,1,1,0.02878464,0.02878464,0,1,2,1
"233","3421",0.00897755857873242,0.00718204696353459,0.071428575,3,4,4,0.35714287,0.2857143,0.071428575,4,4,4
"234","3422",0.0027620796164918,0,0.125,2,1,5,0.125,0,0.125,2,1,5
"235","3423",0.0021722872547988,0.0007240957515996,0.0625,2,1,4,0.09375,0.03125,0.0625,2,2,4
"236","3424",0.00260863420463566,0.00260863420463566,0,2,2,1,0.11290322,0.11290322,0,2,3,1
"237","3430",0.0214090676938467,0.0145141489740761,0.297390115,5,4,5,0.1487737085,0.0992086901666667,0.0495650191666667,3,3,4
"238","3500",0.0029562123782797,0.0029562123782797,0,2,3,1,0.13043478,0.13043478,0,3,3,1
"239","3515",0.0144055006150182,0.0144055006150182,0,4,4,1,0.48774636,0.48774636,0,5,5,1
"240","3520",0.000634870268736963,0.000634870268736963,0,1,1,1,0.023809524,0.023809524,0,1,1,1
"241","3545",0.0170058309626789,0.0158449316652003,0.050814986,4,5,4,0.1745510175,0.161847275,0.0127037465,3,3,3
"242","3550",0.0372758838510682,0.0372758838510682,0,5,5,1,0.197007282833333,0.197007282833333,0,3,3,1
"243","3601",0.00149472016053138,0.00149472016053138,0,2,2,1,0.06666667,0.06666667,0,2,2,1
"244","3602",0.0021939800083331,0,0.090909094,2,1,4,0.090909094,0,0.090909094,2,1,5
"245","3603",0.000710319750721865,0.000710319750721865,0,1,1,1,0.030303031,0.030303031,0,1,2,1
"246","3605",0.00261060349708808,0.00134374765899842,0.05882353,2,2,4,0.0395127756666667,0.019904932,0.0196078433333333,1,1,3
"247","3610",0.0047122252606632,0.0047122252606632,0,3,3,1,0.101515155,0.101515155,0,2,3,1
"248","3620",0.00243643605893498,0.00243643605893498,0,2,2,1,0.05263158,0.05263158,0,2,2,1
"249","3630",0,0,0,1,1,1,0,0,0,1,1,1
"250","3640",0.00295061931542567,0.00295061931542567,0,2,3,1,0.125,0.125,0,2,3,1
"251","3645",0.00303315320731997,0.00303315320731997,0,2,3,1,0.125,0.125,0,2,3,1
"252","3646",0.0218643012244613,0.0218643012244613,0,5,5,1,0.60000002,0.60000002,0,5,5,1
"253","3647",0.0123103814775173,0.00289656037661673,0.38235295,4,3,5,0.5,0.11764706,0.38235295,5,3,5
"254","3648",0.00330370919602302,0.00330370919602302,0,2,3,1,0.14285715,0.14285715,0,3,3,1
"255","3649",0.00198968520983601,0.00198968520983601,0,2,2,1,0.083333336,0.083333336,0,2,2,1
"256","3655",0.0523766432811137,0.0423914351274008,0.405080223,5,5,5,0.232535177,0.18190015075,0.050635027875,3,3,4
"257","3700",0.00272516747958751,0.00272516747958751,0,2,2,1,0.13043478,0.13043478,0,3,3,1
"258","3710",0.00463938336857409,0.00463938336857409,0,3,3,1,0.22499999,0.22499999,0,3,4,1
"259","3720",0.00336265049423096,0.00336265049423096,0,2,3,1,0.16666667,0.16666667,0,3,3,1
"260","3725",NA,NA,NA,NA,NA,NA,0.38095239,0.38095239,0,4,5,1
"261","3735",NA,NA,NA,NA,NA,NA,0.38095239,0.38095239,0,4,5,1
"262","3740",0.000675144521938966,0.000675144521938966,0,1,1,1,0.033333335,0.033333335,0,1,2,1
"263","3750",0.0105731240044262,0.00914244290194461,0.06666667,4,4,4,0.251041665,0.217708335,0.033333335,3,4,4
"264","3801",0,0,0,1,1,1,0,0,0,1,1,1
"265","3802",0.00276896756715045,0.00237340077184325,0.01923077,2,2,3,0.13461539,0.11538462,0.01923077,3,3,3
"266","3820",0.00634146561830413,0.00536585577646382,0.044444446,3,3,3,0.28888887,0.24444444,0.044444446,4,4,4
"267","3830",0.001290477033511,0.000860318049870843,0.020833334,2,2,3,0.0625,0.041666668,0.020833334,2,2,3
"268","3840",0.00317710295132321,0.00272323110113418,0.021739131,2,2,3,0.15217391,0.13043478,0.021739131,3,3,3
"269","3870",0.00582545891002829,0.00536585532367177,0.022727273,3,3,3,0.14372295,0.13235931,0.0113636365,3,3,3
"270","3900",0.0013044885917797,0.0013044885917797,0,2,2,1,0.0625,0.0625,0,2,2,1
"271","3910",0.00721887270578411,0.00577509796827396,0.05882353,3,3,4,0.29411766,0.23529412,0.05882353,4,4,4
"272","3930",0.00382157187752591,0.00305725763042554,0.035714287,3,3,3,0.089285715,0.071428575,0.0178571435,2,2,3
"273","3940",0,0,0,1,1,1,0,0,0,1,1,1
"274","3945",0.00290101810039851,0.00290101810039851,0,2,3,1,0.13461539,0.13461539,0,3,3,1
"275","3946",0.00269830493689474,0.0020472598084552,0.030672647,2,2,3,0.12712507,0.096452422,0.030672647,3,3,3
"276","3960",0.00829762797418798,0.00699553771730892,0.061345294,3,4,4,0.077773106,0.0655040468,0.0122690588,2,2,3
"277","4000",0.00332332608494824,0.00332332608494824,0,2,3,1,0.14285715,0.14285715,0,3,3,1
"278","4010",0.00708081704872322,0.00486806149087067,0.096153848,3,3,4,0.30769232,0.21153846,0.096153848,4,4,5
"279","4020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","4030",0.00157955070133669,0.000789775362909861,0.032258064,2,2,3,0.064516127,0.032258064,0.032258064,2,2,4
"281","4040",0,0,0,1,1,1,0,0,0,1,1,1
"282","4055",0.000866681776887643,0.000866681776887643,0,1,2,1,0.017857144,0.017857144,0,1,1,1
"283","4110",0.00350378905059378,0.00350378905059378,0,2,3,1,0.14,0.14,0,3,3,1
"284","4120",0,0,0,1,1,1,0,0,0,1,1,1
"285","4130",0,0,0,1,1,1,0,0,0,1,1,1
"286","4140",0,0,0,1,1,1,0,0,0,1,1,1
"287","4150",0.00962143654419892,0.00841875661236349,0.045454547,4,4,4,0.36363637,0.31818181,0.045454547,4,4,4
"288","4160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","4200",0.00501558071265415,0.00501558071265415,0,3,3,1,0.23076923,0.23076923,0,3,4,1
"290","4210",0.00292270097888182,0.00292270097888182,0,2,3,1,0.14285715,0.14285715,0,3,3,1
"291","4220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","4230",0,0,0,1,1,1,0,0,0,1,1,1
"293","4240",0.00135105317619732,0.00135105317619732,0,2,2,1,0.06666667,0.06666667,0,2,2,1
"294","4251",0,0,0,1,1,1,0,0,0,1,1,1
"295","4252",0.000834865948859032,0.000417432974429516,0.01923077,1,1,3,0.03846154,0.01923077,0.01923077,1,1,3
"296","4255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","4330",0.0218412502085885,0.0173041797009153,0.166505404,5,5,5,0.208550865,0.16692451,0.041626351,3,3,4
"298","4340",0.00109054523760262,0.00109054523760262,0,1,2,1,0.052631579,0.052631579,0,2,2,1
"299","4350",0.00107784254587013,0.00107784254587013,0,1,2,1,0.045454547,0.045454547,0,2,2,1
"300","4400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","4420",0,0,0,1,1,1,0,0,0,1,1,2
"302","4435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","4461",NA,NA,NA,NA,NA,NA,0.0973193515,0.0684731965,0.028846155,2,2,3
"304","4465",0.00243019964994787,0.00243019964994787,0,2,2,1,0.11363637,0.11363637,0,2,3,2
"305","4500",0.00346024095628373,0.00207614465681602,0.050000001,2,2,4,0.125,0.075000003,0.050000001,2,2,4
"306","4510",0.0011920043558431,0.0011920043558431,0,2,2,1,0.043478262,0.043478262,0,2,2,2
"307","4521",0.0018359167218379,0.0018359167218379,0,2,2,1,0.055555556,0.055555556,0,2,2,2
"308","4522",0.003034234165721,0.003034234165721,0,2,3,2,0.11111111,0.11111111,0,2,3,2
"309","4525",0.00487015088755891,0.00487015088755891,0,3,3,2,0.0416666665,0.0416666665,0,1,2,2
"310","4530",0.00676938628272933,0.00548937197247314,0.05882353,3,3,4,0.123161765,0.09375,0.029411765,2,3,3
"311","4540",0.00745943564882932,0.00221985514706759,0.187306495,3,2,5,0.136222908,0.04256966,0.0936532475,3,2,5
"312","4600",0.00131780377894004,0.00131780377894004,0,2,2,2,0.059999999,0.059999999,0,2,2,2
"313","4621",0.00223872266192287,0.00223872266192287,0,2,2,2,0.090909094,0.090909094,0,2,2,2
"314","4622",0.00358216867462013,0.00255869180517105,0.041666668,2,2,3,0.14583333,0.10416666,0.041666668,3,3,4
"315","4640",0.00157356108066773,0.000786780540333866,0.033333335,2,2,3,0.06666667,0.033333335,0.033333335,2,2,4
"316","4655",NA,NA,NA,NA,NA,NA,0.083333336,0.083333336,0,2,2,2
"317","4700",0.00518316423479949,0.00403134993352394,0.047619049,3,3,4,0.21428572,0.16666667,0.047619049,3,3,4
"318","4710",0.0138837307535847,0.00647907464045449,0.22222222,4,3,5,0.41666666,0.19444445,0.22222222,4,3,5
"319","4720",0.00867934314922153,0.00551646134882855,0.135632187,3,3,5,0.1862069,0.11839081,0.0678160935,3,3,4
"320","4740",0.00680088240747939,0.00680088240747939,0,3,4,2,0.3125,0.3125,0,4,4,2
"321","4750",0.00473811080466381,0.00473811080466381,0,3,3,2,0.21052632,0.21052632,0,3,4,2
"322","4760",0.0052357261479819,0.0020942905597187,0.125,3,2,5,0.20833333,0.083333336,0.125,3,2,5
"323","4800",0.0183462770851178,0.0168174204065486,0.050000001,5,5,4,0.60000002,0.55000001,0.050000001,5,5,4
"324","4810",0.00561311945804268,0.00561311945804268,0,3,3,2,0.15789473,0.15789473,0,3,3,2
"325","4820",0.0176557336322275,0.0148970241762957,0.083333336,5,5,4,0.53333336,0.44999999,0.083333336,5,5,5
"326","4830",0.020873135552769,0.020873135552769,0,5,5,2,0.625,0.625,0,5,5,2
"327","4840",0.0251124678063131,0.0251124678063131,0,5,5,2,0.73333335,0.73333335,0,5,5,2
"328","4850",0.0276665475046,0.0201881710724627,0.281432744,5,5,5,0.5050748,0.36435841,0.140716372,5,4,5
"329","4900",0.00988179744446862,0.00104497893976766,0.30952382,4,2,5,0.17559524,0.020833334,0.15476191,3,1,5
"330","4920",0.016476194319075,0.0110484465551765,0.185007975,4,4,5,0.27551834,0.183014355,0.0925039875,4,3,5
"331","4930",0.0137219712236162,0.0104548351402043,0.1,4,4,4,0.41999999,0.31999999,0.1,4,4,5
"332","4940",0.0559542811163519,0.029193538684548,0.45833334,5,5,5,0.95833331,0.5,0.45833334,5,5,5
"333","4950",0.00619924284728212,0.00619924284728212,0,3,3,2,0.16666667,0.16666667,0,3,3,2
"334","4965",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","5000",0.0189449323647713,0.0157874436881801,0.10344828,5,5,4,0.62068963,0.51724136,0.10344828,5,5,5
"336","5010",0.0168286190302837,0.00885716808781901,0.23684211,4,4,5,0.5,0.2631579,0.23684211,5,4,5
"337","5020",0.0150063037336675,0.00346299316930788,0.3125,4,3,5,0.40625,0.09375,0.3125,4,3,5
"338","5040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","5100",0.028979533908051,0.024342808816607,0.13333334,5,5,5,0.83333331,0.69999999,0.13333334,5,5,5
"340","5110",0.0200991886940269,0.0132080386981153,0.2,5,4,5,0.58333331,0.38333333,0.2,5,5,5
"341","5120",0.0295400163373373,0.0113615449286624,0.53333336,5,4,5,0.86666667,0.33333334,0.53333336,5,4,5
"342","5130",0.00162769630854807,0,0.05882353,2,1,4,0.05882353,0,0.05882353,2,1,4
"343","5140",0.0270791699303878,0.0199111546594808,0.20454545,5,5,5,0.77272725,0.56818181,0.20454545,5,5,5
"344","5150",0.0211719831087337,0.0201133831688751,0.02631579,5,5,3,0.52631581,0.5,0.02631579,5,5,3
"345","5160",0.00974047623557498,0.0057557360040751,0.15517241,4,3,5,0.37931034,0.22413793,0.15517241,4,4,5
"346","5165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","5200",0.00997142296044299,0.00664761508537482,0.1,4,3,4,0.30000001,0.2,0.1,4,3,5
"348","5210",0.0254079330831591,0.00983532966830708,0.45238096,5,4,5,0.73809522,0.2857143,0.45238096,5,4,5
"349","5220",0.0203169247648539,0.019121812724445,0.033333335,5,5,3,0.56666666,0.53333336,0.033333335,5,5,4
"350","5230",0.0217841949093911,0.0157330296567825,0.15625,5,5,5,0.5625,0.40625,0.15625,5,5,5
"351","5240",0.0174595548408294,0.0102703267031924,0.23333333,5,4,5,0.56666666,0.33333334,0.23333333,5,4,5
"352","5250",0.0165826638372776,0.00725491560499974,0.2647059,4,4,5,0.47058824,0.20588236,0.2647059,5,3,5
"353","5260",0.015989415456391,0.0129438126363161,0.10526316,4,4,4,0.55263156,0.44736841,0.10526316,5,5,5
"354","5300",0.0102856585690854,0.0102856585690854,0,4,4,2,0.375,0.375,0,4,5,2
"355","5310",0.0220206399957032,0.0167776308803735,0.14705883,5,5,5,0.61764705,0.47058824,0.14705883,5,5,5
"356","5320",0.00778064159348442,0.0070025774598121,0.030303031,3,4,3,0.30303031,0.27272728,0.030303031,4,4,3
"357","5330",0.0161893130189205,0.0152370010732277,0.027777778,4,5,3,0.47222221,0.44444445,0.027777778,5,5,3
"358","5340",0.0129404813220643,0.00862698776371753,0.13333334,4,4,5,0.40000001,0.26666668,0.13333334,4,4,5
"359","5350",0.0151464277433577,0.012874462761675,0.078947365,4,4,4,0.52631581,0.44736841,0.078947365,5,5,4
"360","5360",0.0187890759888909,0.0108778859406078,0.21052632,5,4,5,0.5,0.28947368,0.21052632,5,4,5
"361","5400",0.0139913632171018,0.00874460221837291,0.15789473,4,4,5,0.42105263,0.2631579,0.15789473,4,4,5
"362","5410",0.00771941973767442,0.00356280916724895,0.16666667,3,3,5,0.30952382,0.14285715,0.16666667,4,3,5
"363","5420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","5500",0.0144448199294117,0.0108393739044602,0.10517473,4,4,4,0.42137098,0.31619623,0.10517473,4,4,5
"365","5510",0.00425801204003061,0.00425801204003061,0,3,3,2,0.20588236,0.20588236,0,3,3,2
"366","5521",0.00792536889268622,0.00792536889268622,0,3,4,2,0.30555555,0.30555555,0,4,4,2
"367","5522",0.0102671103952659,0.00898372159585767,0.03846154,4,4,3,0.30769232,0.26923078,0.03846154,4,4,4
"368","5530",0.00160644574646704,0.00160644574646704,0,2,2,2,0.07692308,0.07692308,0,2,2,2
"369","5540",0.00681598600997853,0.00227199526509166,0.19047619,3,2,5,0.2857143,0.095238097,0.19047619,4,3,5
"370","5550",0.00487887068076685,0.00292732245139417,0.090909094,3,3,4,0.22727273,0.13636364,0.090909094,3,3,5
"371","5560",0.00631922740689288,0.00140427267751186,0.20588236,3,2,5,0.2647059,0.05882353,0.20588236,3,2,5
"372","5600",0.0193887981402123,0.00820295307882409,0.44117647,5,4,5,0.7647059,0.32352942,0.44117647,5,4,5
"373","5610",0.0114110820372087,0.0104601582551704,0.045454547,4,4,4,0.54545456,0.5,0.045454547,5,5,4
"374","5630",0.0115201239357718,0.00300524993317829,0.38636363,4,3,5,0.52272725,0.13636364,0.38636363,5,3,5
"375","5710",0.0247186466678185,0.0189024940778946,0.18181819,5,5,5,0.77272725,0.59090906,0.18181819,5,5,5
"376","5720",0.0225383485981811,0.0150255660827173,0.21428572,5,5,5,0.64285713,0.42857143,0.21428572,5,5,5
"377","5730",0.0278069899094809,0.019696617852549,0.21875,5,5,5,0.75,0.53125,0.21875,5,5,5
