"","census_2018","AIOE_sim","AIOE_quint_sim","AIOE_admin","AIOE_quint_admin","AIOE_wgt","AIOE_quint_wgt"
"184","2865",NA,NA,0.6650665,4,NA,NA
"185","2905",0.0139292445967965,3,0.1939988,3,0.231227563207951,3
"186","2910",-0.00384980764177944,3,-0.1680973,3,0.107050391778152,3
"187","2920",0.0160845339727887,4,0.26935305,3,0.25701855236353,3
"188","3000",-0.00462730163843742,3,-0.1911757,3,0.135611462154297,3
"189","3010",-0.00996110263975452,3,-0.103693525,3,0.225946747907872,3
"190","3030",0.0482449184208605,5,1.342809,5,0.667851672435495,5
"191","3040",0.0138525710578923,3,0.5040194,4,0.388448011877285,4
"192","3050",0.016790214689582,4,0.6058705,4,0.360294511480898,4
"193","3065",NA,NA,0.7086123,4,NA,NA
"194","3070",0.0184472760033751,4,0.7086123,4,0.379650152019696,4
"195","3090",0.314787877983395,5,0.576161185,4,0.401560105743363,4
"196","3100",0.0138440745522172,3,0.139313025,3,0.346711753780705,4
"197","3110",0.00248188684419457,3,0.1059147,3,0.240611684346298,3
"198","3120",0.0174645263998792,4,0.6279185,4,0.416940370220822,4
"199","3140",0.0172653067622068,4,0.6329063,4,0.41553740125667,4
"200","3150",0.00274895777104996,3,0.1151615,3,0.225738290750769,3
"201","3160",-0.00837941566403318,3,-0.3581922,3,0.0962076666535469,3
"202","3200",-0.00462062302680817,3,-0.2189393,3,0.143774165738855,3
"203","3210",0.00496927409444243,3,0.2190109,3,0.124239894502208,3
"204","3220",-0.00403911547942407,3,-0.1880507,3,0.146502804476447,3
"205","3230",0.035290050414034,4,1.146267,5,0.501107728614398,4
"206","3235",-0.000791394645761635,3,-0.0331901,3,0.169855879547815,3
"207","3250",-0.00177270020068553,3,-0.0749958,3,0.216779633095016,3
"208","3255",0.00551357771436383,3,0.2294097,3,0.288438371532752,4
"209","3256",0.00579536204766398,3,0.2413191,3,0.298283873005484,4
"210","3257",0.00505816330863539,3,0.1966265,3,0.272049449900279,3
"211","3258",0.00463084890676164,3,0.1900572,3,0.266087281785512,3
"212","3261",0.0184438228738063,4,0.7109566,4,0.158040836381483,3
"213","3270",0.0202274780476311,4,0.7109566,4,0.480448750668163,4
"214","3300",0.0039967071834979,3,0.0772376,3,0.272581794520923,3
"215","3310",-0.0102662912251702,3,-0.416508,2,0.0903650551856379,3
"216","3321",-0.00215225498282542,3,-0.0909526,3,0.190588630428302,3
"217","3322",-0.00617425045133364,3,-0.264054,3,0.130280120526611,3
"218","3323",-0.0119989137649174,2,-0.5559037,2,0.0478963481268017,2
"219","3324",-0.0016718206790458,3,-0.0727627,3,0.179766649498512,3
"220","3330",-0.0262966396497113,2,-0.1969999,3,0.153304704438192,3
"221","3401",NA,NA,-0.6863446,2,NA,NA
